PhraseId	SentenceId	Phrase	Sentiment
75	75	"Traffic is slow moving on VIP road near Kestopur Canal.
#Kolkata Live traffic updates @ http://t.co/hclChqXQdu http://t.co/lkTULOo9wf"	1
76	76	"Slow moving traffic on VIP Rd near Udyan Pally towards Noha Pukar Curve.
Check live #Kolkata #Traffic @ http://t.co/NZXGc34tQm"	1
77	77	"Congested traffic on PWD Rd towards Bally Ghat Rail.
Check live #Kolkata #Traffic @ http://t.co/NZXGc34tQm"	0
78	78	"Congested traffic on Rajarhat Rd near Atghara towards Taltala.
Check live #Kolkata #Traffic @ http://t.co/NZXGc34tQm"	0
79	79	"Prince Anwar Shah Rd traffic is slow moving at Jadavpur Police Stn Jn towards Kalikapur
#Kolkata  #traffic updates on http://t.co/hclChqXQdu"	1
80	80	"#Kolkata Vivekananad Road is congested and Slow moving near Girish Park Metro @20.55hrs
Check live #traffic updates   http://t.co/hclChqXQdu"	0
81	81	Slow moving traffic on VIp Road near Sheerbhumi.	1
82	82	Slow moving traffic from Kaikhali towards Raghunathpur on both sides. 	1
83	83	RT @KanchanGupta: Massive turnout for BJP rally in #kolkata 'Dharmatala packed' was how a reporter described it to me just now:)	0
84	84	"A political Rally of BJP at Victoria House, shortly Amit Shah will address.
Check traffic status on http://t.co/4l7pZXjlum"	0
85	85	"Congestion on strand Bank Rd. near Ahiritola in both directions.
Check @ http://t.co/hclChqXQdu"	0
86	86	"Congested and slow moving traffic on EM bypass road near Science City Lake upto Dhapa Road #kolkata 
Check http://t.co/hclChqXQdu"	0
87	87	"Congestion on strand Bank Rd. near Ahiritola in both directions.
Check http://t.co/hclChqXQdu"	0
88	88	"Slow moving traffic on V.I.P Road towards Ghose Bagan. #KolkataTraffic
Check live traffic updates @ http://t.co/hclChqXQdu"	1
89	89	"Smooth flowing traffic on Jessore Road in both directions near Golpark. #KolkataTraffic
Check live traffic updates @ http://t.co/hclChqXQdu"	2
90	90	"Moderate traffic on Dum Dum Road in both directions near Ghughudanga. #KolkataTraffic
Check live traffic updates @ http://t.co/hclChqXQdu"	1
91	91	"Congested traffic on Mahatma Gandhi Rd near Bortola.  #KolkataTraffic
Check live traffic updates @ http://t.co/hclChqXQdu"	0
92	92	"Congested traffic on Ultadanga Flyover in both directions from B.A Block to D.A Block. 
Check live #KolkataTraffic @ http://t.co/hclChqXQdu"	0
93	93	"Congested traffic on DumDum Rd near Ghughudanga. #KolkataTraffic
Check live traffic updates @ http://t.co/hclChqXQdu"	0
94	94	"Slow moving traffic on V.I.P Rd towards Baguiati. #KolkataTraffic
Check live traffic updates @ http://t.co/hclChqXQdu"	1
95	95	"Slow moving traffic on Ultadanga Flyover in both directions near B.A Block. #Kolkata
Check live traffic updates @ http://t.co/hclChqXQdu"	1
96	96	"Slow moving traffic on Jessore Rd in both directions near Belgachia. #KolkataTraffic
Check live traffic updates @ http://t.co/hclChqXQdu"	1
97	97	"Smooth flowing traffic on Major Arterial Road (East-West) and (South-East). #Kolkata @ 18:40 Hrs
http://t.co/0iGpqZKhYN"	2
98	98	@ePandu During peak hours the usual route towards Airport is mostly congested. According to news sources commuters miss their flights.	0
99	99	@ePandu Work on this flyover got started in 2012. PWD is yet to announce the official Inauguration dates. Do share our tweet :)	0
100	100	"The 2km flyover from Kestopur to Joramandir on VIP Road is getting ready to be thrown open to traffic soon.
Cc @mishrashiv @WeAreCalcutta"	2
101	101	"Alert Info RT @abpnewstv: Kolkata: Three injured in Blast near Dam Dam railway station.
#Kolkata"	0
102	102	"Slow moving traffic on Dum Dum Rd towards Ghughudanga. #KolkataTraffic
Check live traffic updates @ http://t.co/hclChqXQdu"	1
103	103	Traffic to be diverted from any of the arterial roads by traffic police b/w 09-16 Jan 2015 due to ‘GANGA SAGAR MELA’ &amp; 'MAKAR SANKRANTI’.	0
104	104	"Contruction of Park Circus Elevated Corridor. Is it still going on?
Cc @WeAreCalcutta"	1
105	105	"Traffic congestion on Grand Trunk Rd in both directions nr Mali Panchghara. 
Check live #KolkataTraffic @ http://t.co/hclChqXQdu"	0
106	106	"#Kolkata : Heavy traffic on Rabindra Setu Bridge on Both sides.
http://t.co/0iGpqZKhYN"	0
107	107	"Slow moving traffic on Utadanga Flyover in both directions near Ghose Bagan. #kolkata
Check live traffic updates @ http://t.co/hclChqXQdu"	1
108	108	"Traffic congestion on Canal Side Rd towards AG Block. #KolkataTraffic
Check live traffic updates @ http://t.co/hclChqXQdu"	0
109	109	"Slow moving traffic on Dumdum Rd towards Mitrabagan Basti. #KolkataTraffic
Check live traffic updates @ http://t.co/hclChqXQdu"	1
110	110	"Congested trafic on Grand Trunk Rd near Belur Math Railway on both side.
Check live #KolkataTraffic @ http://t.co/NZXGc34tQm"	0
111	111	"Slow moving traffic on Rabindra Setu towards Strand Rd.
Check live #KolkataTraffic  @ http://t.co/NZXGc34tQm"	1
112	112	"Congested traffic on Jessore Rd near Shyam Nagar.
Check live #KolkataTraffic @ http://t.co/NZXGc34tQm"	0
113	113	Traffic congestion on Church Rd in both directions nr Gopi Nath Bazar. #DelhiTraffic	0
114	114	RT @divkaushik: Teen murti marg, shanti path choked @dtptraffic @TrafflineDEL @TrafficDEL	0
115	115	RT @abhimago: Wonder what's wrong today with Ring Road AIIMS to Moti Bagh strech... @TrafflineDEL	0
116	116	RT @iconohclast: As always, #ShantiPath traffic is terrible. Horribly terrible. @TrafflineDEL	0
117	117	Traffic congestion in both directions on Ring Rd nr Vishwavidyalaya. #DelhiTraffic	0
118	118	Traffic congestion in both directions on Patel Rd near Block 2 &amp; 4. #DelhiTraffic	0
119	119	Slow moving traffic in both directions on Outer Ring Rd nr Haider Pur. #DelhiTraffic	0
120	120	RT @kawaljit: @TrafflineDEL Outer Ring Road completely choked from Modi mills to Panchsheel. Avoid!	0
121	121	RT @Forever_Tarun: Rainy day. #delhirains @TrafflineDEL http://t.co/vFECfnpgPY	1
122	122	"Morning Delhi 
Smooth Flowing traffic on all major roads in Delhi. #NewYear #winter "	2
123	123	"RT @dtptraffic: TRAFFIC ADVISORY

Movement of traffic remain heavy on every Tuesday and Saturday from Barf Khana Chowk to Azad... http://t.…"	0
124	124	"@DeeptiSachdeva_ Thanks &amp; Same to you. Expect some traffic @ India Gate, rest is fine.
Do check our app :)
http://t.co/ckkBMW4cGi"	2
125	125	RT @rkalia80: Traffic at a halt near Taj Mansingh round about @TrafflineDEL	0
126	126	@DeeptiSachdeva_ Drive via Lajpat Rai Path, Dr Zakir Hussain Mg &amp; Ashoka Rd @dtptraffic	2
127	127	@DeeptiSachdeva_ Slow moving and congested towards CP from Bangla Sahib on both sides. From where till where are you commuting? @dtptraffic	0
128	128	@DeeptiSachdeva_ Congestion across CP on the nearby routes except KG Marg and Minto Bridge. Moderate traffic at Khan Market. @dtptraffic	0
129	129	RT @shashanksaini: Huge traffic at India Gate... Please avoid... @BeatTrafficJams @TrafflineDEL	0
130	130	RT @BeingAnupama: @TrafflineDEL excessive traffic volumes, human crowds causing problems in and around CP	0
131	131	RT @BeingAnupama: @TrafflineDEL excessively heavy traffic in and around CP. Easily half hour from Barakhamba to CP inner circle. High traff…	0
132	132	RT @LIITian_Scorpio: @TrafflineDEL I'm stuck on NH 8. Pls advice whts wrong if none knows..	0
133	133	RT @domyowndance: @deMysterified @DelhiMetro_Rail so you're kind to #DelhiMetro #YellowLine at the cost of #BlueLine? 5min waiting, huge cr…	2
134	134	RT @EsotericPhoenix: @lahirip yup...traffic is crawling on mg road towards Delhi and nh8 :/ or so i heard.	0
135	135	RT @leishembaa: Almost 2 km long massive jam at safdarjung flyover avoid Aurobindo marg @dtptraffic	0
136	136	RT @avishekgd: After 15 mins of red light, it turns green only for 10 secs at ITO. Pathetic management by @dtptraffic. Stuck for half hr. @…	0
137	137	RT @bitspratik: That time of the day when a person driving a 7 seater SUV tweets and complains about traffic jams. cc @TrafflineDEL	1
138	138	RT @sumitkushwaha: @trafflinedel Jam on pankha Road from delhicantt to Sagarpur	1
139	139	RT @saiajith_a: Traffic on NH 8 towards iffco from delhi #traffic #ncr #happynewyear #2015 @TrafflineDEL @GurgaonPolice1 http://t.co/kho3kr…	1
140	140	"@amardeep_sidhu MG Road is better to commute. 70-75 mins @ present.
http://t.co/w3iGXvdWOq"	2
141	141	"Slow moving traffic from Calcutta University towards Rabindra Setu.
Check http://t.co/vd7XD5ytcB"	1
142	142	"Slow movng traffic on Barackpore Trunk Rd. #KolkattaTraffic
Check http://t.co/vd7XD5ytcB"	1
143	143	"Congestion on raja Manindra Rd. towards Paikpara.
Check http://t.co/hclChqXQdu"	1
144	144	"Congested traffic on EM Bypass road near Ghose Bagan.
Check live #KolkataTraffic @ http://t.co/NZXGc34tQm"	0
145	145	"Slow moving traffic on Indira Gandhi Sarani towards Eden Gardens.
Check live traffic @ http://t.co/hclChqXQdu"	1
146	146	"Slow moving traffic on EM Bypass Rd. in both directions.
Check live traffic @ http://t.co/hclChqXQdu"	1
147	147	"Congested and Slow moving traffic on VIP Rd from Dashindari to   Rajarhat Rd. @19.50 hrs
Check live traffic updates @ http://t.co/hclChqXQdu"	0
148	148	"EM Bypass Road congested both directions at LB Block , Canal Circular Rd Jn at 19.45 hrs
Check live traffic updates @ http://t.co/hclChqXQdu"	0
149	149	"Slow moving traffic on VIP Road from Kaikhali to  Jessore Road @ 19.40 hrs
Check live traffic updates @ http://t.co/hclChqXQdu"	1
150	150	"Slow moving traffic on Rajghat Rd. towards Derozio Meorial College.
Check live traffic updates @ http://t.co/hclChqXQdu"	1
151	151	"Slow moving traffic on Dum Dum Rd. near Railway Crossing.
Check live traffic updates @ http://t.co/hclChqXQdu"	1
152	152	"Traffic congestion on VIP road near baguihati on both sides. #Kolkata #traffic 
Check live traffic updates @ http://t.co/hclChqXQdu"	0
153	153	"Moderate traffic on Nager Bazar Flyover on both sides. #Kolkata #traffic 
Check live traffic updates @ http://t.co/hclChqXQdu"	1
154	154	"Slow moving traffic on CA Rd towards Bagh Bazar.
Check live traffic updates @ http://t.co/hclChqXQdu"	1
155	155	"Traffic congestion on Raibindra Pally road on both sides. #Kolkata #Traffic
Check live traffic updates @ http://t.co/vd7XD5ytcB"	0
156	156	"Slow &amp; Moderate traffic on Dum Dum road on both directions. #Kolkata #traffic 
Check live traffic updates @ http://t.co/hclChqXQdu"	1
157	157	"Slow moving traffic on CA Rd towards Bagh Bazar.
Check live traffic updates @ http://t.co/hclChqXQdu"	1
158	158	"Slow moving traffic on AJC Bose Rd. near Rabindra Sadan.
Check live traffic updates @ http://t.co/hclChqXQdu"	1
159	159	"Patches of slow moving traffic on EM Bypass Rd. in both drections.
Check live traffic updates @ http://t.co/hclChqXQdu"	1
160	160	"Traffic congestion on Narkeldanga  main road near Phool bagan. #TrafficKolkata
Check live traffic updates  http://t.co/hclChqXQdu"	0
161	161	"Slow moving traffic on Rajarhat road on both sides. #Kolkata #traffic 
Check live traffic updates @ http://t.co/hclChqXQdu"	1
162	162	"Slow moving traffic on EM Bypass road on both sides. #Kolkata #traffic 
Check live traffic updates @ http://t.co/vd7XD5ytcB"	1
163	163	"Slow moving traffic on Indra Gandhi Sarani from Bortola to Eden 
Check live traffic updates @ http://t.co/vd7XD5ytcB"	1
164	164	"Slow moving traffic from  Calcutta University to Rabindra Setu.
Check live traffic updates @ http://t.co/vd7XD5ytcB"	1
165	165	"Slow moving traffic on EM Bypass Rd. in both directions.
Check live traffic  @ http://t.co/hclChqXQdu"	1
166	166	"Slow moving traffic on CA Rd. in both directions.
Check Live Traffic @ http://t.co/hclChqXQdu"	1
167	167	"Heavy traffic after Rabindr Setu towards CA Rd. and Strand Rd.
Check Live Traffic @ http://t.co/hclChqXQdu"	0
168	168	"Slow moving traffic on EM Bypass near Ajoy Nagar.
Check Live Traffic @ http://t.co/hclChqXQdu"	1
169	169	"Congested traffic on Major Arterial Road from Titumir Metro St towards Chinar Park.
Check live #KolkataTraffic @ http://t.co/NZXGc34tQm"	0
170	170	"Slow moving traffic on VIP Road near Shreebhumi on both side.
Check live #KolkataTraffic @ http://t.co/NZXGc34tQm"	1
171	171	"Slow moving traffic on Debendre Lal Khan Road near SSKM Hospital.
Check live #KolkataTraffic @ http://t.co/QYhoIVpcoU"	1
172	172	"Slow moving traffic on Barackpore Trunk Rd near Narendra Nagar.
Check live #KolkataTraffic @ http://t.co/QYhoIVpcoU"	1
173	173	"Slow moving traffic towards Rabindra Setu from CA Road, Poddar Court @20.50 hrs
Check live #KolkataTraffic @ http://t.co/vd7XD5ytcB"	1
174	174	"Slow moving traffic on EM Bypass Road near Ghose Bagan.
Check live #KolkataTraffic @ http://t.co/vKB6dXbMlV"	1
175	175	"Congested traffic on Rajarhat near Taltala towards Teghoria.
Check live #KolkataTraffic @ http://t.co/vKB6dXbMlV"	0
176	176	"Congested traffic on AJC Bose Road Flyover near Rabindra Sadan Metro.
Check live #KolkataMetro @ http://t.co/vKB6dXbMlV"	0
177	177	"RT @saiajith_a: Can you do something for traffic jam on railway road near jacubpura and nai basti??
@TrafflineDEL @GurgaonPolice1"	1
178	178	RT @aparna_jain: Never ever ever. Aurobindo marg. #traffic from IIT to aiims. @TrafflineDEL	0
179	179	RT @monsieursoupier: When are we getting rid of these damned #BRTs? Stuck in Chirag Dilli for the past half an hour. @TrafflineDEL	0
180	180	RT @tweets_manish: Truckand car accident on fbd-ggn road at ggn entry near qutub enclave. Huge pile up.@TrafflineDEL @DelhiTrafficPol	0
181	181	RT @Harjeev: Guys headed to #Bhiwadi Dharuhera Jaipur on Nh8, be prepared for a 15min wait time at #Bilaspur Pataudi intersection on #NH8 @…	0
182	182	RT @amanpaggarwal: @TrafflineDEL @Harjeev is SP Marg still closed? Any idea why and till how long?	0
183	183	"ALERT
Parking of all types of vehicles has been restricted for 24 hrs.of the day on Baba Kharak Singh Marg near Hanuman Mandir ."	0
184	184	RT @Isay_Chaps: @TrafflineDEL barapullah approach rd towards Kale khan choked. Take it if u must. :-) #traffucked	0
185	185	"Traffic is heavy from Moolchand to Ashram,Nehru nagar &amp; DND flyover to Ashram due to road repair work.
Check @ http://t.co/1GguR5zOwx"	0
186	186	"Due to some VVIP Programs traffic will remain heavy at C hexagon, India Gate, Ashoka Road etc.  
Check @ http://t.co/1GguR5zOwx"	0
187	187	"Traffic is heavy from Ring Road to St. Martin Marg.
Check live traffic updates @ http://t.co/1GguR5zOwx"	0
188	188	RT @sutanu: Is there no clear way to go from Delhi to udyog vihar, Gurgaon today.. Dhaula kuan is choked and so is outer ring rd (VV) @Traf…	0
189	189	RT @saurabhsgarg: @TrafflineDEL @narendramodi traffic situation worsens in netaji subhash place, Pitampura  due to illegal parking on roads.	0
190	190	RT @Traveluscious: @VVT1910 2 hours from Dwarka to Hauz Khas. Check @TrafflineDEL updates or application before starting. Heard on fm Pansc…	0
191	191	RT @JayaswalRajeev: @TrafflineDEL again Jam at Janpath ... VIP problem!	1
192	192	RT @BiancaGhose: The stretch between the Supreme Court and Sundar Nagar. Yawnnn #Delhi #traffic @TrafflineDEL http://t.co/bRroMKXj9h	2
193	193	RT @aknarendranath: @TrafflineDEL Most unfortunate. RTR Marg clogged. Avoid if possible.	0
194	194	RT @BiancaGhose: Everything's stationary from Sundar Nagar to CP, even the India Gate circle! Avoid. Once in - an hour atleast. #traffic @T…	0
195	195	RT @prasanto: Two and a half hours from DLF5 to Shangri-La near CP. I hope Beijing will also shut down for Modi. (Why didn't I take the Met…	0
196	196	RT @journopragya: Outer Ring Road clogged; massive traffic snarls likely in evening #XiInDelhi #FarFromSmartCity	0
197	197	RT @anand_varma: 1 hr long traffic jams at India Gate and arterial roads due to Chinese President's visit #Delhi @firstpostin	0
198	198	RT @suneeratweets: Please avoid India Gate right now. Blocked roads and traffic that won't move.	0
199	199	RT @iRJPrateek: Multiple tractors full of drunk men wreaking havoc on the road. Kalindi Kunj toward Sarita Vihar. Shouting, disrupting traf…	0
200	200	RT @pallavighcnnibn: Empty roads- courtesy xi in india http://t.co/4ol5z4FWff	2
201	201	RT @NeelamKapur: @dtptraffic please move traffic on outer ring road towards airport . People will miss their flights otherwise.	1
202	202	RT @souvikdg: Whattay epic traffic situation! 2 hours and counting in a bus from Dwarka and still haven’t got into South Delhi. Thankfully …	0
203	203	Delhi Traffic advisory for China Premier’s Visit on 18th September 2014 http://t.co/otcCMfMVJv	1
204	204	"China Premier's Visit - Routes to be avoided. Check http://t.co/otcCMfMVJv for complete details.
Cc @DILIPtheCHERIAN http://t.co/bcuW2jbrvB"	1
205	205	@butsandifs Use Akbar Road and take first left onto Man Singh Road. Live updates @ http://t.co/Fuzyj3zPcq	2
206	206	RT @BeingAnupama: @TrafflineDEL entry to KG Marg from India Gate circle  is closed for traffic due to Chinese delegation movement	0
207	207	RT @duak: @TrafflineDEL ITO to mathura road via Pragati Maidan completely choked as well	0
208	208	@Ghair_Kanooni Go via Barakhamba Rd after ITO. http://t.co/Fuzyj3zPcq	2
209	209	"#Delhi Routes to avoid at present :
- Ring Road &amp; NH8 towards Dhaula Kuan.
- Sardar Patel Marg
- Ashoka Rd
Cc @smitaprakash @madversity"	0
210	210	@Ghair_Kanooni Best route : Take the Noida Link rd till Laxmi Nagar, go via ITO. Where exactly are you headed?	2
211	211	RT @JayaswalRajeev: @TrafflineDEL massive jam at Dhaula Kuan bcoz SP marg closed 4 VIP. An early warning wd hv helped common man!	0
212	212	RT @faujdardev: Stucked in Jam on Delhi - Meerut road. Political parties making a mess http://t.co/TRQuwQqxMC	1
213	213	Major traffic hassles around India Gate/Hyderabad House. Tibetan protesters the cause for the same. Pic @smitaprakash http://t.co/74KrBQ7p3x	0
214	214	RT @SidSaikia: @TrafflineDEL @dtptraffic #indiagate circle still not clear...traffic too slow	1
215	215	RT @upadhyaysbjp: #delhi to have dedicated lanes for emergency vehicles. Have written to LG Delhi for the same. @BJPDelhiState http://t.co/…	2
216	216	"ALERT
Movement of traffic remain heavy on every Tuesday and Saturday from Barf Khana Chowk to Azad.. http://t.co/o2faJhYzXg
via @dtptraffic"	0
217	217	"Slow moving traffic in both directions on Outer Ring Rd nr Haider Pur. #DelhiTraffic
Check live traffic updates @ http://t.co/1GguR5RpEB"	1
218	218	"RT @dtptraffic: Traffic Advisory

As per order of National Green Tribunal no vehicles will be parked in Karol Bagh market area on... http:/…"	2
219	219	RT @NavinBansal: “@airnewsalerts: #HimachalPradesh: Higher reaches continue to experience light to moderate snowfall. http://t.co/oxsZj5P8u…	1
220	220	"Traffic congestion on Shankar Rd towards Rajinder Nagar. #DelhiTraffic
Check live traffic updates @ http://t.co/1GguR5RpEB"	0
221	221	RT @SanjayBhartiye: @TrafflineDEL :Huge traffic  at NH8 near BIJWASAN from  Gurgaon  to Dhaulakua at 19:40 http://t.co/zhEIuVXWdH	0
222	222	"Traffic congestion on Max Mueller Marg towards Lodhi Rd. #DelhiTraffic.
Check live traffic updates @ http://t.co/1GguR5RpEB"	0
223	223	RT @kittusen: @TrafflineDEL ggn mehrauli rd choked.	0
224	224	RT @manoj61agarwal: @TrafflineDEL heavy traffic on Ring Road upto ISBT.	0
225	225	RT @hsalve: Alas- something's don't change easy. Traffic jam on Akbar Road as cars parked all along - two and at times three side by side.	1
226	226	"Traffic congestion on Safdarjung Rd towards Delhi Race Club. #DelhiTraffic
Check live traffic updates @ http://t.co/1GguR5RpEB"	0
227	227	"Smooth flowing traffic on Delhi Noida Direct Flyway. #DelhiTraffic
Check live traffic updates @ http://t.co/1GguR5RpEB"	2
228	228	"RT @chandiyabhai: \ We should give Space for Emergency Vehicles. #OnRoadResolution 
@TrafflineDEL"	2
229	229	RT @likesharad: @TrafflineDEL NT8 chocked up towards gurgaon till iffco chauk	0
230	230	#DelhiMetro: Interchange facility for Line2 (HUDA City Centre Jahangirpuri) &amp; Line-3/4 (Dwarka Sec-21 Noida City Centre/Vaishali) available.	2
231	231	#DelhiMetro : No entry &amp; exit will be allowed today at #RajivChowk metro station after 9 PM in view of security restrictions.	1
232	232	RT @shrutsays: @TrafflineDEL Its a bright sunny morning. Almost zero traffic. Has to be coz of 31st Dec.	2
233	233	"ALERT
An LGV  has broken down near AIIMS bus stop, in the carriageway running from Moolchand towards AIIMS, causing congestion. #Delhi"	0
234	234	"Morning #Delhi 
Free Flowing traffic on all major roads in Delhi. 
#winter #Traffline
Check live traffic updates @ http://t.co/1GguR5RpEB"	2
235	235	RT @saumya_khare: @TrafflineDEL CP inner circle badly choked	0
236	236	@saumya27 Slow moving till windsor Palace thereafter fine . At  India Gate traffic is moving fine.	2
237	237	"Badly Congested traffic near Jhandewalan Metro Stn and it access roads @ 19.30 hrs #Delhi 
Check @ http://t.co/1GguR5RpEB"	0
238	238	RT @DelhiCandid: Delhi traffic Jammed packed at Chawari Bazaar GB Road Ajmeri Gate  New Delhi Railway station Due to Tazia Jaloos. @dtptraf…	0
